"SIDO","year","Units","value"
"강원","1992","people",1554106
"강원","1993","people",1539801
"강원","1994","people",1529304
"강원","1995","people",1528488
"강원","1996","people",1528671
"강원","1997","people",1537106
"강원","1998","people",1552667
"강원","1999","people",1556979
"강원","2000","people",1554688
"강원","2001","people",1552407
"강원","2002","people",1538720
"강원","2003","people",1527034
"강원","2004","people",1521375
"강원","2005","people",1513110
"강원","2006","people",1505420
"강원","2007","people",1503806
"강원","2008","people",1508575
"강원","2009","people",1512870
"강원","2010","people",1529818
"강원","2011","people",1536448
"강원","2012","people",1538630
"강원","2013","people",1542263
"강원","2014","people",1544442
"강원","2015","people",1549507
"강원","2016","people",1550806
"강원","2017","people",1550142
"강원","2018","people",1543052
"강원","2019","people",1541502
"강원","2020","people",1542840
"강원","2021","people",1538492
"강원","2022","people",1536498
"강원","2023","people",1527807
"강원","2024","people",1517766
"경기","1992","people",6613094
"경기","1993","people",7005232
"경기","1994","people",7421823
"경기","1995","people",7789424
"경기","1996","people",8155794
"경기","1997","people",8470594
"경기","1998","people",8672632
"경기","1999","people",8934332
"경기","2000","people",9219343
"경기","2001","people",9544496
"경기","2002","people",9927473
"경기","2003","people",10206851
"경기","2004","people",10462920
"경기","2005","people",10697215
"경기","2006","people",10906033
"경기","2007","people",11106211
"경기","2008","people",11292264
"경기","2009","people",11460610
"경기","2010","people",11786622
"경기","2011","people",11937415
"경기","2012","people",12093299
"경기","2013","people",12234630
"경기","2014","people",12357830
"경기","2015","people",12522606
"경기","2016","people",12716780
"경기","2017","people",12873895
"경기","2018","people",13077153
"경기","2019","people",13239666
"경기","2020","people",13427014
"경기","2021","people",13565450
"경기","2022","people",13589432
"경기","2023","people",13630821
"경기","2024","people",13694685
"경남","1992","people",2862924
"경남","1993","people",2891384
"경남","1994","people",2920632
"경남","1995","people",2982504
"경남","1996","people",3018134
"경남","1997","people",3043758
"경남","1998","people",3069755
"경남","1999","people",3080229
"경남","2000","people",3094413
"경남","2001","people",3106502
"경남","2002","people",3124418
"경남","2003","people",3139017
"경남","2004","people",3143814
"경남","2005","people",3160431
"경남","2006","people",3172857
"경남","2007","people",3196953
"경남","2008","people",3225255
"경남","2009","people",3250176
"경남","2010","people",3290536
"경남","2011","people",3308765
"경남","2012","people",3319314
"경남","2013","people",3333820
"경남","2014","people",3350257
"경남","2015","people",3364702
"경남","2016","people",3373871
"경남","2017","people",3380404
"경남","2018","people",3373988
"경남","2019","people",3362553
"경남","2020","people",3340216
"경남","2021","people",3314183
"경남","2022","people",3280493
"경남","2023","people",3251158
"경남","2024","people",3228380
"경북","1992","people",2764237
"경북","1993","people",2765151
"경북","1994","people",2760548
"경북","1995","people",2770378
"경북","1996","people",2790451
"경북","1997","people",2799084
"경북","1998","people",2809595
"경북","1999","people",2808567
"경북","2000","people",2797178
"경북","2001","people",2784704
"경북","2002","people",2756744
"경북","2003","people",2720832
"경북","2004","people",2695917
"경북","2005","people",2688491
"경북","2006","people",2688577
"경북","2007","people",2681364
"경북","2008","people",2673931
"경북","2009","people",2669876
"경북","2010","people",2689920
"경북","2011","people",2699195
"경북","2012","people",2698353
"경북","2013","people",2699440
"경북","2014","people",2700794
"경북","2015","people",2702826
"경북","2016","people",2700398
"경북","2017","people",2691706
"경북","2018","people",2676831
"경북","2019","people",2665836
"경북","2020","people",2639422
"경북","2021","people",2626609
"경북","2022","people",2600492
"경북","2023","people",2554324
"경북","2024","people",2531384
"광주","1992","people",1223784
"광주","1993","people",1248670
"광주","1994","people",1272515
"광주","1995","people",1285633
"광주","1996","people",1300195
"광주","1997","people",1323863
"광주","1998","people",1339441
"광주","1999","people",1356612
"광주","2000","people",1371909
"광주","2001","people",1383765
"광주","2002","people",1397452
"광주","2003","people",1395762
"광주","2004","people",1401172
"광주","2005","people",1401745
"광주","2006","people",1407798
"광주","2007","people",1413444
"광주","2008","people",1422702
"광주","2009","people",1433640
"광주","2010","people",1454636
"광주","2011","people",1463464
"광주","2012","people",1469216
"광주","2013","people",1472910
"광주","2014","people",1475884
"광주","2015","people",1472199
"광주","2016","people",1469214
"광주","2017","people",1463770
"광주","2018","people",1459336
"광주","2019","people",1456468
"광주","2020","people",1450062
"광주","2021","people",1441611
"광주","2022","people",1431050
"광주","2023","people",1419237
"광주","2024","people",1408422
"대구","1992","people",2284191
"대구","1993","people",2312166
"대구","1994","people",2342680
"대구","1995","people",2478589
"대구","1996","people",2480345
"대구","1997","people",2488346
"대구","1998","people",2493440
"대구","1999","people",2505710
"대구","2000","people",2524253
"대구","2001","people",2525109
"대구","2002","people",2525803
"대구","2003","people",2529544
"대구","2004","people",2524712
"대구","2005","people",2511306
"대구","2006","people",2496115
"대구","2007","people",2493261
"대구","2008","people",2492724
"대구","2009","people",2489781
"대구","2010","people",2511676
"대구","2011","people",2507271
"대구","2012","people",2505644
"대구","2013","people",2501588
"대구","2014","people",2493264
"대구","2015","people",2487829
"대구","2016","people",2484557
"대구","2017","people",2475231
"대구","2018","people",2461769
"대구","2019","people",2438031
"대구","2020","people",2418346
"대구","2021","people",2385412
"대구","2022","people",2363691
"대구","2023","people",2374960
"대구","2024","people",2363629
"대전","1992","people",1134843
"대전","1993","people",1189039
"대전","1994","people",1232823
"대전","1995","people",1265081
"대전","1996","people",1293760
"대전","1997","people",1318212
"대전","1998","people",1341413
"대전","1999","people",1363546
"대전","2000","people",1385606
"대전","2001","people",1403164
"대전","2002","people",1419573
"대전","2003","people",1432296
"대전","2004","people",1443471
"대전","2005","people",1454638
"대전","2006","people",1466158
"대전","2007","people",1475659
"대전","2008","people",1480895
"대전","2009","people",1484180
"대전","2010","people",1503664
"대전","2011","people",1515603
"대전","2012","people",1524583
"대전","2013","people",1532811
"대전","2014","people",1531809
"대전","2015","people",1518775
"대전","2016","people",1514370
"대전","2017","people",1502227
"대전","2018","people",1489936
"대전","2019","people",1474870
"대전","2020","people",1463882
"대전","2021","people",1452251
"대전","2022","people",1446072
"대전","2023","people",1442216
"대전","2024","people",1439157
"부산","1992","people",3882389
"부산","1993","people",3862806
"부산","1994","people",3839812
"부산","1995","people",3883880
"부산","1996","people",3867125
"부산","1997","people",3851312
"부산","1998","people",3829098
"부산","1999","people",3817270
"부산","2000","people",3796506
"부산","2001","people",3770536
"부산","2002","people",3730125
"부산","2003","people",3691445
"부산","2004","people",3666345
"부산","2005","people",3638293
"부산","2006","people",3611992
"부산","2007","people",3587439
"부산","2008","people",3564577
"부산","2009","people",3543030
"부산","2010","people",3567910
"부산","2011","people",3550963
"부산","2012","people",3538484
"부산","2013","people",3527635
"부산","2014","people",3519401
"부산","2015","people",3513777
"부산","2016","people",3498529
"부산","2017","people",3470653
"부산","2018","people",3441453
"부산","2019","people",3413841
"부산","2020","people",3391946
"부산","2021","people",3350380
"부산","2022","people",3317812
"부산","2023","people",3293362
"부산","2024","people",3266598
"서울","1992","people",10935230
"서울","1993","people",10889499
"서울","1994","people",10759454
"서울","1995","people",10550871
"서울","1996","people",10418076
"서울","1997","people",10336134
"서울","1998","people",10270506
"서울","1999","people",10264260
"서울","2000","people",10311314
"서울","2001","people",10263336
"서울","2002","people",10207295
"서울","2003","people",10174086
"서울","2004","people",10173162
"서울","2005","people",10167344
"서울","2006","people",10181166
"서울","2007","people",10192710
"서울","2008","people",10200827
"서울","2009","people",10208302
"서울","2010","people",10312545
"서울","2011","people",10249679
"서울","2012","people",10195318
"서울","2013","people",10143645
"서울","2014","people",10103233
"서울","2015","people",10022181
"서울","2016","people",9930616
"서울","2017","people",9857426
"서울","2018","people",9765623
"서울","2019","people",9729107
"서울","2020","people",9668465
"서울","2021","people",9509458
"서울","2022","people",9428372
"서울","2023","people",9386034
"서울","2024","people",9331828
"세종","1992","people",0
"세종","1993","people",0
"세종","1994","people",0
"세종","1995","people",0
"세종","1996","people",0
"세종","1997","people",0
"세종","1998","people",0
"세종","1999","people",0
"세종","2000","people",0
"세종","2001","people",0
"세종","2002","people",0
"세종","2003","people",0
"세종","2004","people",0
"세종","2005","people",0
"세종","2006","people",0
"세종","2007","people",0
"세종","2008","people",0
"세종","2009","people",0
"세종","2010","people",0
"세종","2011","people",0
"세종","2012","people",113117
"세종","2013","people",122153
"세종","2014","people",156125
"세종","2015","people",210884
"세종","2016","people",243048
"세종","2017","people",280100
"세종","2018","people",314126
"세종","2019","people",340575
"세종","2020","people",355831
"세종","2021","people",371895
"세종","2022","people",383591
"세종","2023","people",386525
"세종","2024","people",390685
"울산","1992","people",0
"울산","1993","people",0
"울산","1994","people",0
"울산","1995","people",0
"울산","1996","people",0
"울산","1997","people",1009652
"울산","1998","people",1015249
"울산","1999","people",1024336
"울산","2000","people",1040225
"울산","2001","people",1055618
"울산","2002","people",1065037
"울산","2003","people",1072867
"울산","2004","people",1081453
"울산","2005","people",1087648
"울산","2006","people",1092494
"울산","2007","people",1099995
"울산","2008","people",1112407
"울산","2009","people",1114866
"울산","2010","people",1126298
"울산","2011","people",1135494
"울산","2012","people",1147256
"울산","2013","people",1156480
"울산","2014","people",1166377
"울산","2015","people",1173534
"울산","2016","people",1172304
"울산","2017","people",1165132
"울산","2018","people",1155623
"울산","2019","people",1148019
"울산","2020","people",1136017
"울산","2021","people",1121592
"울산","2022","people",1110663
"울산","2023","people",1103661
"울산","2024","people",1098049
"인천","1992","people",1339229
"인천","1993","people",1393379
"인천","1994","people",1449034
"인천","1995","people",2353073
"인천","1996","people",2391824
"인천","1997","people",2445613
"인천","1998","people",2485199
"인천","1999","people",2509086
"인천","2000","people",2545769
"인천","2001","people",2564598
"인천","2002","people",2577989
"인천","2003","people",2570194
"인천","2004","people",2578817
"인천","2005","people",2600495
"인천","2006","people",2624391
"인천","2007","people",2664576
"인천","2008","people",2692696
"인천","2009","people",2710579
"인천","2010","people",2758296
"인천","2011","people",2801274
"인천","2012","people",2843981
"인천","2013","people",2879782
"인천","2014","people",2902608
"인천","2015","people",2925815
"인천","2016","people",2943069
"인천","2017","people",2948542
"인천","2018","people",2954642
"인천","2019","people",2957026
"인천","2020","people",2942828
"인천","2021","people",2948375
"인천","2022","people",2967314
"인천","2023","people",2997410
"인천","2024","people",3021010
"전남","1992","people",2283108
"전남","1993","people",2235346
"전남","1994","people",2197391
"전남","1995","people",2185564
"전남","1996","people",2175206
"전남","1997","people",2163353
"전남","1998","people",2171024
"전남","1999","people",2155093
"전남","2000","people",2130614
"전남","2001","people",2099308
"전남","2002","people",2054204
"전남","2003","people",2017730
"전남","2004","people",1986192
"전남","2005","people",1967205
"전남","2006","people",1942925
"전남","2007","people",1929836
"전남","2008","people",1919000
"전남","2009","people",1913004
"전남","2010","people",1918485
"전남","2011","people",1914339
"전남","2012","people",1909618
"전남","2013","people",1907172
"전남","2014","people",1905780
"전남","2015","people",1908996
"전남","2016","people",1903914
"전남","2017","people",1896424
"전남","2018","people",1882970
"전남","2019","people",1868745
"전남","2020","people",1851549
"전남","2021","people",1832803
"전남","2022","people",1817697
"전남","2023","people",1804217
"전남","2024","people",1788819
"전북","1992","people",2027454
"전북","1993","people",2016018
"전북","1994","people",2002899
"전북","1995","people",2006602
"전북","1996","people",2004345
"전북","1997","people",2001606
"전북","1998","people",2009250
"전북","1999","people",2009507
"전북","2000","people",1999255
"전북","2001","people",2006454
"전북","2002","people",1953846
"전북","2003","people",1954430
"전북","2004","people",1906742
"전북","2005","people",1885335
"전북","2006","people",1868365
"전북","2007","people",1862277
"전북","2008","people",1855772
"전북","2009","people",1854508
"전북","2010","people",1868963
"전북","2011","people",1874031
"전북","2012","people",1873341
"전북","2013","people",1872965
"전북","2014","people",1871560
"전북","2015","people",1869711
"전북","2016","people",1864791
"전북","2017","people",1854607
"전북","2018","people",1836832
"전북","2019","people",1818917
"전북","2020","people",1804104
"전북","2021","people",1786855
"전북","2022","people",1769607
"전북","2023","people",1754757
"전북","2024","people",1738690
"제주","1992","people",505784
"제주","1993","people",510584
"제주","1994","people",513905
"제주","1995","people",518836
"제주","1996","people",523022
"제주","1997","people",527586
"제주","1998","people",534008
"제주","1999","people",538744
"제주","2000","people",542368
"제주","2001","people",546889
"제주","2002","people",550831
"제주","2003","people",552297
"제주","2004","people",555362
"제주","2005","people",557569
"제주","2006","people",558496
"제주","2007","people",559258
"제주","2008","people",560618
"제주","2009","people",562663
"제주","2010","people",571255
"제주","2011","people",576156
"제주","2012","people",583713
"제주","2013","people",593806
"제주","2014","people",607346
"제주","2015","people",624395
"제주","2016","people",641597
"제주","2017","people",657083
"제주","2018","people",667191
"제주","2019","people",670989
"제주","2020","people",674635
"제주","2021","people",676759
"제주","2022","people",678159
"제주","2023","people",675252
"제주","2024","people",670368
"충남","1992","people",1859953
"충남","1993","people",1844010
"충남","1994","people",1828170
"충남","1995","people",1836716
"충남","1996","people",1855270
"충남","1997","people",1875253
"충남","1998","people",1887721
"충남","1999","people",1892563
"충남","2000","people",1894099
"충남","2001","people",1889362
"충남","2002","people",1877895
"충남","2003","people",1912803
"충남","2004","people",1953406
"충남","2005","people",1962646
"충남","2006","people",1974433
"충남","2007","people",1995531
"충남","2008","people",2018537
"충남","2009","people",2037582
"충남","2010","people",2075514
"충남","2011","people",2101284
"충남","2012","people",2028777
"충남","2013","people",2047631
"충남","2014","people",2062273
"충남","2015","people",2077649
"충남","2016","people",2096727
"충남","2017","people",2116770
"충남","2018","people",2126282
"충남","2019","people",2123709
"충남","2020","people",2121029
"충남","2021","people",2119257
"충남","2022","people",2123037
"충남","2023","people",2130119
"충남","2024","people",2136574
"충북","1992","people",1371694
"충북","1993","people",1385423
"충북","1994","people",1392463
"충북","1995","people",1406136
"충북","1996","people",1421049
"충북","1997","people",1437649
"충북","1998","people",1451504
"충북","1999","people",1458744
"충북","2000","people",1465227
"충북","2001","people",1465128
"충북","2002","people",1461975
"충북","2003","people",1489635
"충북","2004","people",1488945
"충북","2005","people",1488803
"충북","2006","people",1494559
"충북","2007","people",1506608
"충북","2008","people",1519587
"충북","2009","people",1527478
"충북","2010","people",1549528
"충북","2011","people",1562903
"충북","2012","people",1565628
"충북","2013","people",1572732
"충북","2014","people",1578933
"충북","2015","people",1583952
"충북","2016","people",1591625
"충북","2017","people",1594432
"충북","2018","people",1599252
"충북","2019","people",1600007
"충북","2020","people",1600837
"충북","2021","people",1597427
"충북","2022","people",1595058
"충북","2023","people",1593469
"충북","2024","people",1591177
